SensorID,Date,Temperature,SoilMoisture,pH,Fertilizer,Location
S21,4-Apr-25,27.3,29,6.8,3.5,W field
S048,3/2/2025,12.4,20,6,2.9,westField
S011,4/3/2025,17.3,42,None,2.5,East Field
S7,4/10/2025,12.1,56,7.2,1.4,north field
S032,3/6/2025,16.5,47,7,3.2,north field
s49,3/1/2025,12.3,N/A,7.5,,EASTFIELD
S004,10/4/2025,29.6,41,6,2.7,North Field
s26,13-Mar-25,30.5,48,6.9,3.9,EASTFIELD
s49,10-Mar-25,29.2,25,6.9,3.2,North Field
s31,2/3/2025,12.2,65,7.8,,NorthField
S052,2/26/2025,34.7,48,6.6,2.7,West Field
S36,2/28/2025,18.6,59,6.3,,S field
s5,4/2/2025,26.6,65,6.9,3.8,Southfield
s12,2/25/2025,28,54,7.1,3.2,NorthField
S2,23/03/2025,23.7,33,6.3,3.8,EASTFIELD
s40,14-Mar-25,31.2,50,5.8,1.4,e field
S038,3/2/2025,34.2,24,5.5,3.6,W field
s59,4-Mar-25,N/A,45,7.3,4.1,NorthField
s48,7/3/2025,16.9,55,7.2,1.5,WEST FIELD
S003,26-Feb-25,26.9,63,5.7,3.3,e field
s23,5-Apr-25,23.2,None,5.8,,north field
s14,3/30/2025,34,59,7.5,1.6,South Field
s60,1/4/2025,35.6,44,6.2,3,EASTFIELD
S053,3/27/2025,35.4,53,5.6,2.9,North Field
s47,4/5/2025,16.6,36,6.9,3.2,North Field
s24,27/03/2025,36,61,14.8,2.3,East Field
S050,3/23/2025,28.1,55,6,4.1,South Field
S031,6/3/2025,25,43,14.6,1.5,EASTFIELD
S042,4/2/2025,27.3,N/A,7.2,3.3,North Field
S26,3/18/2025,24.4,57,2.5,2.5,WEST FIELD
S021,4/10/2025,34.9,29,6.3,1.3,e field
S001,28/02/2025,17.9,57,5.6,3,Southfield
s21,21-Mar-25,25.7,56,6.8,2.3,W field
s4,3/15/2025,30.9,62,7.7,4,WEST FIELD
S13,3/16/2025,14.7,64,6.3,1.6,NorthField
s45,3/20/2025,24.9,33,7.2,3.8,NorthField
S033,27/02/2025,30.9,58,6.4,3.1,Southfield
s2,22-Mar-25,18.5,52,7.5,1.8,e field
s52,27/02/2025,26.4,60,6.6,1.9,NORTH FIELD
S030,3/18/2025,18.9,39,7,1.8,W field
S032,3/4/2025,34.8,45,6.4,,East Field
s31,3/21/2025,26.3,19,6.9,1.7,w field
s28,9-Apr-25,12.4,36,5.8,2.9,east field
s16,4/6/2025,25.3,26,6.6,2.9,WEST FIELD
s31,2-Mar-25,18.6,26,7.2,1.7,Nrth Field
s51,11-Mar-25,32.2,43,5.5,3.5,South Field
S022,3/12/2025,32.1,None,6.8,2.8,W field
S60,3/6/2025,35.5,36,6.1,2.2,Southfield
s10,28/02/2025,-2.8,57,7.3,2.8,westField
s42,3/7/2025,None,N/A,5.9,2221.5,NORTH FIELD
S3,3/6/2025,25.7,64,7.4,3.5,north field
s45,23-Mar-25,34.7,25,6.7,3.8,EastField
s40,2-Mar-25,14.6,43,6.2,4.1,S field
S18,25-Mar-25,18.7,65,6.1,2.8,e field
s51,4/4/2025,35.6,63,7.6,3.6,Southfield
S60,3/21/2025,23.7,49,6.8,2.3,east field
s53,3/26/2025,31.8,22,N/A,missing,w field
S021,5/3/2025,31.1,41,None,2.2,north field
S022,3/26/2025,15.8,N/A,5.6,1.4,Nrth Field
s33,2/28/2025,34.2,56,6.1,4.1,WEST FIELD
S34,3/7/2025,12.2,58,6.6,2.3,EastField
S004,2/3/2025,30.4,42,7.5,3.8,West Field
S31,13-Mar-25,29.2,49,7.3,1.6,North Field
s10,3/4/2025,35.6,28,5.9,2.6,n field
S050,3/15/2025,21.7,56,5.6,3.2,EASTFIELD
S8,25-Feb-25,30.5,30,6.6,4.1,Southfield
S013,3/20/2025,16.8,39,6.6,3,e field
S027,21-Mar-25,32.7,46,6,3.6,WEST FIELD
s34,3/13/2025,15.1,57,7.1,1.4,w field
s54,3/23/2025,17.2,36,7.4,,East Field
S011,3/15/2025,12.4,41,6.2,4,Southfield
S2,3/24/2025,21.4,26,6.5,3.6,east field
S003,3/14/2025,26.5,52,6.2,3.4,South Field
s12,7-Mar-25,25.9,20,5.6,missing,North Field
s30,3/14/2025,32.3,38,6.9,3,WEST FIELD
s2,29-Mar-25,27,64,7.4,3.5,Southfield
s47,3/16/2025,37.3,22,7.4,2.3,w field
S016,3/19/2025,14.3,63,7.1,1.6,westField
S055,4/4/2025,N/A,37,7.3,3.3,North Field
S036,3/9/2025,15.9,45,7.7,N/A,n field
S034,4/9/2025,24.8,None,6.4,3.8,EASTFIELD
s55,4-Mar-25,33.9,44,6.4,1.2,East Field
S28,3/18/2025,18.3,30,None,1.3,S field
S012,25/02/2025,33.2,37,6.9,missing,Nrth Field
s28,6-Mar-25,19.9,20,,4.2,WEST FIELD
S28,3/22/2025,31.5,46,6,1.3,North Field
s47,2/27/2025,26.4,26,7.7,3.3,Southfield
s13,3/6/2025,33.6,missing,7.6,2.4,Southfield
s49,24-Mar-25,33,37,7,3.7,SOUTH FIELD
s42,4/2/2025,15.8,60,7.3,2,South Field
s2,3/3/2025,12.4,,7.3,2.5,n field
s08,3/13/2025,32.8,36,7.7,1.8,WEST FIELD
s03,3/3/2025,24.7,40,7.6,2,NorthField
s12,4/7/2025,37.5,26,5.7,2.1,EastField
s25,3/19/2025,26,42,6.4,4,South Field
s41,20-Mar-25,27.9,N/A,5.7,2,EastField
S37,3/16/2025,14.6,38,5.6,2.8,w field
S5,4/4/2025,-86.7,30,6.8,1.8,NorthField
s41,3/4/2025,27.6,50,7.4,2.1,NorthField
s43,3/19/2025,missing,21,5.9,2.3,westField
S020,3/2/2025,29.2,26,5.9,2.7,east field
s43,26/02/2025,19.6,53,6.3,3302.7,north field
s18,3/27/2025,32.9,26,7.5,2,north field
S019,2/28/2025,,None,6.1,3.2,W field
s31,4/6/2025,27.4,58,6.1,2.8,South Field
s23,3/24/2025,20.2,55,7.6,1.7,W field
s22,20/03/2025,18.8,49,6,4,WEST FIELD
S34,2/26/2025,31.4,27,5.7,4.1,NORTH FIELD
S030,22/03/2025,30.1,46,N/A,3,East Field
s53,3/11/2025,25.7,54,6.7,1.4,e field
s25,3/8/2025,17.6,31,5.9,2.6,NORTH FIELD
S8,3/14/2025,33.8,53,7,1.6,SOUTH FIELD
S021,27-Mar-25,37.9,21,0.5,3,westField
s3,3/11/2025,14.7,61,9.3,1.3,West Field
s14,3/16/2025,34.6,42,None,3.4,East Field
s31,4/10/2025,31.9,64,7.7,1.8,east field
S57,4/2/2025,13.7,65,7.1,3.9,w field
S26,5-Mar-25,21,50,5.7,3,South Field
s32,4/5/2025,20.3,40,7.1,4.1,Southfield
S22,3/21/2025,16,54,5.7,1.9,westField
S028,29/03/2025,19.7,30,7.5,3.3,East Field
s49,3/10/2025,24.8,64,6.4,3,East Field
S17,2-Mar-25,37.3,38,7.6,2.9,Nrth Field
S004,7/4/2025,14.8,50,9.4,2.9,n field
S007,11-Mar-25,34.1,33,7.3,4,EASTFIELD
S58,9/3/2025,37.6,32,7,3.9,n field
s53,3/8/2025,14.3,missing,7,3.9,West Field
s28,3/6/2025,18.7,42,7,1.5,West Field
s25,3/7/2025,27.7,58,6.3,3.6,S field
S14,9/4/2025,29.1,27,5.8,4.1,Southfield
S11,24/03/2025,33.3,28,7.6,1.8,Southfield
s14,3/13/2025,15.3,55,6.4,missing,South Field
s56,13/03/2025,36.1,55,6.8,1.8,westField
s7,17/03/2025,23.8,48,7.4,2.2,Nrth Field
S58,26-Mar-25,27,43,5.8,2.4,East Field
s18,14/03/2025,35.2,65,7.1,2,WEST FIELD
s59,3/28/2025,20.2,36,6.9,2.6,w field
S22,4/8/2025,27.9,53,6.4,3.9,WEST FIELD
s27,13-Mar-25,36.9,36,7.6,3.3,North Field
S017,3/7/2025,12.5,37,7,3.3,WEST FIELD
s19,6-Mar-25,28,50,6.4,3.7,north field
S60,9/4/2025,31.1,35,7.3,1.7,westField
s58,3/25/2025,37.7,26,11,2.5,East Field
s30,4/7/2025,N/A,35,6.7,1.9,Nrth Field
S034,3/15/2025,32.4,39,7.1,1.4,WEST FIELD
S016,7-Mar-25,35.4,36,missing,3.8,North Field
s29,22-Mar-25,32.9,42,7.7,3.4,East Field
s23,4/10/2025,34.7,30,6.4,3.8,West Field
S42,2/27/2025,13.8,33,7,2.5,EASTFIELD
S46,3/1/2025,22.3,50,6.3,3.7,East Field
S009,2/25/2025,15.1,62,5.6,3.3,EASTFIELD
s17,25/03/2025,19.6,22,7.1,2,north field
s34,4/5/2025,-44,40,6.8,1.7,West Field
s20,3/9/2025,34.7,44,-1,3.4,East Field
S16,3/5/2025,18.3,20,6.4,3.7,EastField
S052,3/6/2025,18.5,25,7.6,3.3,Southfield
S52,3/13/2025,37.9,55,6.4,1.3,West Field
s39,16-Mar-25,37.7,28,missing,1.9,w field
S17,20-Mar-25,N/A,36,7.8,4.1,South Field
s45,4/8/2025,17.2,20,6.2,3.9,North Field
s42,4/3/2025,24.6,30,5.8,1.6,e field
s16,3/3/2025,26.6,60,N/A,3.1,north field
s19,28/02/2025,14.9,42,7.5,3.8,North Field
S011,3/3/2025,20,26,6.6,2.6,north field
S46,3/26/2025,missing,31,5.9,1.9,West Field
S002,3-Apr-25,26.8,51,5.6,3.8,NORTH FIELD
S010,14/03/2025,-35.9,26,6.5,3.4,West Field
S029,26-Feb-25,12.7,47,6,1.3,Nrth Field
s30,25/03/2025,27.9,38,9.4,2.7,Nrth Field
S010,4/7/2025,26.7,21,7.6,3.3,NORTH FIELD
s46,4/5/2025,12.9,49,5.6,2.3,North Field
s43,25-Feb-25,21.6,47,5.6,1.5,EastField
S029,5/4/2025,29.5,55,5.7,4,n field
S60,3/26/2025,20.7,36,7.8,2.4,w field
S59,7-Apr-25,18.8,21,6.9,2.5,e field
S42,2/28/2025,26.4,54,7.2,2.7,north field
S3,17/03/2025,25.6,58,-1.8,2.7,SOUTH FIELD
S040,20/03/2025,28.4,30,7.5,2.7,NORTH FIELD
S41,4/4/2025,32.7,35,7.6,2.4,South Field
s43,4/9/2025,17.8,58,7.6,2.9,West Field
s28,26-Feb-25,None,62,6.5,3.7,East Field
S54,3/4/2025,22.3,33,6,3.4,north field
s24,2/25/2025,12.7,25,5.7,1366,east field
S015,3-Apr-25,35.1,38,5.8,2.7,EASTFIELD
s16,3/28/2025,14.6,27,6.5,3.9,w field
S010,4/7/2025,21.3,40,5.7,2.6,Nrth Field
S016,15/03/2025,28.7,23,7.2,3.7,S field
S14,2/26/2025,37.9,37,5.5,1.6,East Field
s51,12-Mar-25,30.7,53,7.3,3.8,east field
s02,3/4/2025,21.3,53,7.7,3.2,NORTH FIELD
S047,10-Apr-25,N/A,9999,7.5,2.9,EASTFIELD
S035,24-Mar-25,20.4,25,6.4,1.4,Nrth Field
s55,10/4/2025,26,27,6.1,4.1,West Field
S3,4/3/2025,19.3,41,6.9,3.8,north field
S025,22-Mar-25,20,22,5.8,2,westField
s21,3/25/2025,17.3,58,5.9,1.4,w field
S058,3/27/2025,34.1,48,6.5,3.5,East Field
S004,3/13/2025,28,61,6,3.8,Southfield
s20,25-Feb-25,27.3,39,7.2,4.1,West Field
S29,3/5/2025,27.5,44,7.1,2.5,SOUTH FIELD
s49,5/3/2025,24.3,50,7.5,4,NORTH FIELD
S006,29/03/2025,16.1,50,6.2,1.9,westField
S51,2/25/2025,36.8,63,5.9,1.4,NorthField
s05,19/03/2025,28.9,40,,,EASTFIELD
s02,3/6/2025,20.4,48,5.9,4,n field
S45,11-Mar-25,29.4,19,missing,3.9,w field
S022,4/1/2025,16.1,34,N/A,1.2,Nrth Field
s50,2-Mar-25,15.5,51,6.8,1.3,Nrth Field
S47,10-Mar-25,22.3,18,7.7,2030.1,W field
s34,25-Mar-25,32.6,54,5.7,3.7,SOUTH FIELD
S042,3/29/2025,None,40,6.3,1.6,East Field
S024,4/4/2025,25.7,65,7.7,3.4,West Field
S037,2/28/2025,31.5,52,5.8,1.8,westField
s13,3/6/2025,18.1,65,6.6,2.5,EastField
S018,4/2/2025,24.8,56,6,2.4,Nrth Field
S030,3/26/2025,22.9,34,6.6,3.9,NorthField
s08,4/6/2025,14.5,63,7,3.1,NorthField
S035,10-Mar-25,31.8,43,7.4,1.7,WEST FIELD
S54,3/20/2025,29.4,,6.5,2.4,e field
S033,16-Mar-25,18.1,34,6.5,3.8,NORTH FIELD
S009,11/3/2025,None,18,7.6,2.9,n field
s23,28-Mar-25,17.3,44,5.7,1.9,North Field
S24,8/3/2025,37.8,35,6.1,2.4,east field
S002,21/03/2025,31.6,31,5.5,2.7,Nrth Field
S022,3/27/2025,30.5,53,6.5,3.6,EastField
S54,3/23/2025,16.6,39,7.7,3.6,east field
s55,3/5/2025,28,34,6.8,,NorthField
S032,3/12/2025,24.8,65,N/A,2.3,EastField
s46,3/29/2025,22.3,44,6.7,1.9,South Field
S45,2/3/2025,14.6,21,5.8,4,West Field
S50,4/10/2025,25.5,57,5.6,3.9,NorthField
s22,6-Mar-25,22.4,55,5.8,3.1,S field
S1,3/19/2025,28.9,60,5.7,,north field
s40,7-Mar-25,20.5,64,7.5,2.6,NORTH FIELD
S031,3/6/2025,21.7,55,6.8,2.9,NORTH FIELD
s37,3/27/2025,12.9,22,5.8,,north field
s37,26/02/2025,25.1,46,7.6,2.6,n field
s40,3/4/2025,28.8,23,5.5,2.8,north field
S052,3/30/2025,32.4,29,7.2,2.7,S field
s33,17/03/2025,36.8,missing,6.6,0.008,w field
s05,3/5/2025,29.4,32,12.5,3,W field
S024,3/27/2025,18.5,25,5.5,3.7,NorthField
S028,9-Mar-25,20.6,37,6.5,2.2,east field
s15,3/1/2025,31.6,,6.7,1.4,westField
S42,20-Mar-25,35.4,30,6.4,3.3,Southfield
s47,4/4/2025,13.8,33,6.9,4.1,westField
S26,3/6/2025,15,None,6.9,4.1,S field
S1,28-Mar-25,24.6,32,7,3.9,NorthField
s25,3/16/2025,31.9,20,6.8,N/A,South Field
S023,3/22/2025,35.4,61,7.7,1.9,S field
S59,2/26/2025,12.4,53,6,3,e field
S27,2/28/2025,17.9,33,6.1,2.9,East Field
s56,26/03/2025,21.8,48,5.7,4.2,North Field
S056,14-Mar-25,27.6,24,5.6,1.3,EastField
s20,4/3/2025,33.8,20,6.4,1.3,South Field
S056,9/3/2025,12.9,55,7,3.3,n field
s28,4/2/2025,20.5,47,5.5,3.2,South Field
s27,3/8/2025,28.3,31,6.7,2.4,South Field
S60,4/1/2025,N/A,30,-1.2,1.8,e field
S027,25/02/2025,13.7,59,6.5,3.9,South Field
s59,3/12/2025,16.7,,5.7,3,westField
S58,27-Mar-25,37.7,35,7.4,4.1,e field
s05,3/31/2025,21.6,57,7.1,3.2,north field
S7,20-Mar-25,22.6,58,5.9,1.4,South Field
S47,4/7/2025,29.7,47,7.5,3.5,W field
s38,4/3/2025,30.6,43,7.2,3.1,westField
S028,3/20/2025,29.7,59,6.4,1.6,north field
s60,30-Mar-25,19.9,29,6.5,2.5,e field
s25,22/03/2025,26.4,40,5.6,1.6,NorthField
s41,4/4/2025,26.2,23,7,2.9,north field
s20,3/5/2025,15.3,34,1.4,2.1,e field
S2,3/19/2025,14.4,23,6.9,3.9,n field
s12,4/3/2025,27.8,42,6.3,1.7,SOUTH FIELD
S51,3/2/2025,30.1,27,5.7,1.8,north field
s51,2/26/2025,19.2,57,6.6,2.1,Nrth Field
S012,3/17/2025,13.2,63,6,2.5,n field
s50,3/7/2025,22.5,22,7.6,3.7,EastField
S15,15-Mar-25,17.2,49,7.3,0.006,east field
s1,4/10/2025,18.2,31,7,1.4,W field
s19,4/5/2025,33.9,51,6,3.2,WEST FIELD
s41,3/23/2025,30.8,30,5.9,missing,WEST FIELD
S051,3/20/2025,12.6,50,6.3,3.9,Southfield
S7,4/2/2025,28.2,65,7.8,missing,east field
S33,23/03/2025,34.6,44,5.8,1.9,EASTFIELD
s37,3/7/2025,32.6,30,7,2.4,EASTFIELD
S35,16/03/2025,33.3,24,6.5,2.1,EastField
s1,3/4/2025,19,,7,1.8,Nrth Field
S028,3/20/2025,36,52,7.4,2.7,Southfield
S009,2-Apr-25,34.2,63,6.6,2.2,Nrth Field
s44,3/19/2025,24.2,20,6.3,3.5,e field
S35,19/03/2025,33.6,59,7.5,3.2,SOUTH FIELD
S13,3/28/2025,16.3,58,6.2,3.3,north field
s42,3/22/2025,15.6,34,7.3,2.7,Nrth Field
s5,3/6/2025,27.1,29,5.8,4,n field
S48,4/4/2025,29.7,,7.6,3.9,W field
S20,3/11/2025,16,49,5.7,3.7,Nrth Field
s27,3/10/2025,37,43,6.8,3.3,n field
s2,27-Feb-25,22.8,missing,5.6,2.4,EastField
s3,3/30/2025,13.8,21,6.3,3.8,S field
S042,3/1/2025,28.7,55,6.5,3.6,east field
S037,2/27/2025,22.7,21,6.6,None,NorthField
S21,4/5/2025,28.3,41,6.8,1.8,east field
S14,1/4/2025,13.6,N/A,6.5,1.8,w field
S49,3/15/2025,29.6,35,,1.8,EastField
s50,3/25/2025,21.7,missing,7.3,2,SOUTH FIELD
S24,3/18/2025,23.1,9999,7.5,3,SOUTH FIELD
s45,1-Mar-25,30.4,9999,7.6,3,w field
s48,27-Feb-25,12.7,57,6.6,2,W field
S054,2/26/2025,13,49,7.3,3.3,Nrth Field
s22,5-Mar-25,31.4,50,6.4,3.9,SOUTH FIELD
s39,24/03/2025,19.9,35,7.3,missing,West Field
s11,26-Mar-25,16,30,6.4,1.8,WEST FIELD
s20,4/9/2025,13.6,32,7.1,1.9,east field
S42,3/27/2025,,31,7,1.5,S field
S029,8/3/2025,35,61,7.3,3.6,Nrth Field
s29,7/3/2025,23.9,52,5.6,3.1,east field
S057,3/24/2025,N/A,43,7.3,3.5,South Field
s53,3/26/2025,26,45,5.5,4,East Field
S15,4/3/2025,24.2,58,7.2,3.1,north field
s57,15/03/2025,22.7,49,7,3.4,north field
s01,4/7/2025,18.8,25,7.5,2.5,NorthField
S15,3/17/2025,30.6,61,7.4,2.2,EASTFIELD
s23,4/2/2025,20,56,7.6,1.5,South Field
S8,3/10/2025,30.7,38,6.3,3.8,EASTFIELD
s35,3/24/2025,31.9,27,6.5,1.4,SOUTH FIELD
S011,4/5/2025,15.7,N/A,7.2,1.9,north field
s45,3/1/2025,16.8,21,5.6,3.9,westField
s10,24-Mar-25,28.1,59,6.3,3.5,Southfield
s09,3/29/2025,22.6,,7.7,None,e field
s54,3/31/2025,12.6,24,6,4,NorthField
s56,3/31/2025,28.4,58,5.8,3.7,North Field
S52,3/30/2025,20,52,5.8,4,East Field
S048,2/25/2025,35.3,64,7,3.4,East Field
s24,3/18/2025,24,missing,7.8,2.1,EastField
S31,16-Mar-25,24.1,61,None,1.9,north field
S017,3/13/2025,31.3,39,5.9,2.6,SOUTH FIELD
S7,3/3/2025,27,39,6.2,1.6,West Field
s25,4/4/2025,36.3,46,7.2,4.2,W field
s9,2/27/2025,29.4,56,7.2,2.1,S field
S025,4/6/2025,15.2,61,N/A,2.4,WEST FIELD
S008,26/02/2025,29.5,35,7.2,4.1,EastField
s58,2/25/2025,-60.8,39,7.6,3.5,NORTH FIELD
S039,9-Mar-25,23.3,9999,6.6,3.8,east field
s59,3/16/2025,16.9,62,7.6,3,westField
s44,3/5/2025,26.4,46,7.4,2.2,Nrth Field
S015,2/25/2025,20.9,36,6.7,2.6,West Field
s36,3/26/2025,19.1,35,7.8,3.7,EastField
S4,4/6/2025,30.9,63,7.7,4.1,e field
s32,31-Mar-25,32.1,29,6.1,3.4,EastField
s50,4/3/2025,25.7,59,7.1,1.4,South Field
s39,3/26/2025,34.7,31,7.1,3.8,East Field
s35,4/1/2025,22.5,50,5.8,3.8,north field
s30,19/03/2025,33.9,59,5.9,2.3,east field
s60,12-Mar-25,19.1,33,7,2.4,East Field
s15,3/25/2025,77.6,37,7.6,2.5,East Field
S44,3/22/2025,18.3,58,7.2,3.7,WEST FIELD
S026,3/12/2025,,26,6.8,3.8,n field
s36,3/20/2025,21,54,7.4,2.4,w field
S006,5/3/2025,34,21,6,2.8,South Field
s54,3/15/2025,-13.7,62,5.6,3.9,EASTFIELD
s31,9/3/2025,25.3,60,5.9,2.7,West Field
S15,28/03/2025,28.5,38,5.8,2.3,north field
s45,31/03/2025,21.9,60,7.2,2.5,n field
S11,3/14/2025,12.1,49,7.6,3.2,w field
s57,18/03/2025,32.3,48,6.3,2.9,EASTFIELD
S40,2/26/2025,15.4,N/A,6.6,2.5,South Field
s4,3/7/2025,20.2,53,7.7,2.9,EastField
S21,25-Feb-25,27.7,35,7.6,3.3,S field
S031,4/4/2025,28,21,7,1.2,w field
S054,4/2/2025,23.7,65,7.2,2.7,WEST FIELD
S034,4/8/2025,None,27,6.4,3.4,W field
s56,3/2/2025,625.6,53,6.6,2.9,NorthField
S55,3-Apr-25,17.1,65,6.7,1109.8,South Field
s48,4-Mar-25,34.1,42,6,3.8,W field
S010,13-Mar-25,20.6,43,7.1,2.3,WEST FIELD
S58,3/17/2025,25.9,9999,7.4,3.5,EASTFIELD
S21,3/8/2025,33.1,55,5.5,3.7,West Field
s10,3/2/2025,24.1,50,5.6,3.7,north field
s41,3/7/2025,21.7,62,6.9,1.8,north field
s45,8-Mar-25,35.7,56,5.6,3.2,SOUTH FIELD
S044,4/2/2025,-66.5,21,7,2.2,NORTH FIELD
s44,3/1/2025,25.6,60,10.6,3.6,westField
s57,26-Feb-25,16.7,38,6.9,1.5,WEST FIELD
S024,3/19/2025,15.1,64,5.6,3.5,w field
s39,3/7/2025,35,23,6.5,1.7,East Field
s8,1-Apr-25,36.7,58,6.3,1.3,westField
S046,17/03/2025,22.7,61,7.1,1.6,NORTH FIELD
S025,3/10/2025,21.1,29,7.4,1.8,West Field
s23,3/29/2025,30.2,34,6.5,3.8,n field
S8,2/27/2025,18.7,57,6.6,1.9,Southfield
S59,3/24/2025,N/A,63,6.3,2.9,South Field
S4,6-Apr-25,36.7,44,6.4,2.9,e field
S34,4/2/2025,25.1,18,6.5,2.4,S field
s50,4/2/2025,17.5,37,6.4,3,East Field
S14,3/26/2025,23,25,6.2,3.9,S field
s08,3/28/2025,18.3,25,6.4,3,South Field
s24,3/15/2025,37,36,7.4,3.2,WEST FIELD
S36,3/19/2025,34,18,6.1,N/A,WEST FIELD
S45,2/3/2025,17.7,23,6.2,N/A,north field
s44,3/31/2025,14.5,56,7,3,north field
s46,3/11/2025,28.5,20,7.7,3,Nrth Field
s20,16/03/2025,27.1,45,7.7,1.9,e field
S46,14-Mar-25,14.1,56,6.8,3.9,West Field
S041,3/26/2025,12.8,47,7.3,2.8,EastField
s24,3/23/2025,27.1,58,7.1,2.3,East Field
S027,3/28/2025,35.2,45,None,1.7,East Field
s32,25/02/2025,13.2,37,N/A,4.1,east field
S026,2/26/2025,30.5,39,5.6,2.8,NORTH FIELD
S53,3/26/2025,35,63,6.1,2.6,W field
S14,4/5/2025,35.6,47,6.4,2.3,n field
S031,7-Apr-25,24.9,59,5.7,1.7,West Field
S30,30-Mar-25,16.1,40,7.1,2,North Field
S50,4/10/2025,25.6,54,5.6,2.3,e field
s16,3/10/2025,36,60,7.5,2.9,SOUTH FIELD
S059,3/10/2025,21.7,47,7.3,2,w field
s37,11-Mar-25,16,32,7.1,3.9,Nrth Field
s44,10-Apr-25,25,31,7,3.5,north field
S21,13/03/2025,33,62,7.3,2.4,North Field
S058,3/6/2025,16.3,26,5.6,1.6,north field
s50,3/27/2025,15.5,22,6.4,1.2,n field
s34,3/3/2025,12.6,N/A,7.5,1.7,NorthField
S027,4/2/2025,21.5,57,missing,2.5,n field
S024,3/8/2025,30.1,46,6.7,3.9,n field
S52,10/3/2025,32.2,58,7.7,1.3,Nrth Field
s9,3/12/2025,28.9,23,6.2,1.6,Nrth Field
s41,4/9/2025,32.1,9999,6.3,2.9,north field
s52,4/1/2025,18.8,None,6.4,3,north field
S3,3/17/2025,23,21,,1.5,westField
s10,3/18/2025,26.4,63,5.7,1.6,NorthField
S002,4/9/2025,16,50,7.1,3.6,westField
S058,3/25/2025,29.1,40,6.7,4.1,NORTH FIELD
S47,3/21/2025,24.7,52,6.4,3.1,e field
s06,3/7/2025,20.6,50,6.8,1.6,east field
S56,3/6/2025,17.1,28,6.5,3.8,w field
s29,1-Apr-25,20,,5.9,1.3,SOUTH FIELD
s9,26/02/2025,32.1,58,7.4,3.6,EASTFIELD
S049,16/03/2025,13.9,22,6.5,1.9,NorthField
S011,20/03/2025,19.1,25,5.9,N/A,NorthField
s55,3/24/2025,missing,54,5.7,2.8,n field
s45,4/8/2025,19,58,7.4,3.4,Nrth Field
S023,3/30/2025,33.8,41,6,1.5,NorthField
S22,3/4/2025,12.4,37,7.7,3.9,EASTFIELD
S37,27-Feb-25,23.8,,7.5,2.8,WEST FIELD
S50,4/7/2025,27.5,60,5.9,3.4,westField
s45,3/17/2025,20.5,missing,7.3,2.3,S field
S051,3/28/2025,25,27,5.5,3.7,w field
S051,4/6/2025,34.8,60,7.4,1.5,W field
s9,27-Feb-25,17.4,48,6.4,1.4,NORTH FIELD
S30,2/27/2025,16.9,32,7.5,N/A,W field
S53,10/3/2025,13.1,41,6.7,2.8,NORTH FIELD
s26,3/15/2025,30.2,63,6.5,1.5,West Field
s04,10-Apr-25,13.8,23,7.5,1.8,e field
S015,10/4/2025,18,49,7.1,1.4,Nrth Field
S57,3/1/2025,33.7,32,7.2,3.1,East Field
S29,3/7/2025,17.7,19,7.2,1.7,Southfield
S051,3/7/2025,35.6,37,6.1,1.8,W field
S11,18/03/2025,34.6,28,6.7,1.6,NORTH FIELD
s28,4-Apr-25,27.7,30,7.5,4.2,Southfield
S32,3/15/2025,24.1,51,7.1,3.1,NorthField
S41,29-Mar-25,35,57,5.9,3.6,NorthField
s56,3/5/2025,21.1,51,7,missing,w field
S41,3/4/2025,21.2,19,6.7,missing,e field
S016,4/8/2025,12.1,64,5.9,3.3,EastField
S15,3/8/2025,20.2,missing,7.1,2.6,W field
s44,3/29/2025,25.1,53,6,1.5,North Field
S009,4/8/2025,20.3,41,7.2,1.6,East Field
S50,3/4/2025,362.4,39,6.3,3.5,north field
s58,26/03/2025,17.3,51,6.1,2.5,NorthField
S10,24/03/2025,37.6,41,7.1,3.6,North Field
s57,3/15/2025,18.5,39,7.6,1.7,South Field
S22,3/11/2025,N/A,51,7.1,2,NorthField
S9,3/8/2025,30.7,30,6.8,2.4,north field
s47,4/3/2025,29.4,55,6.5,3.1,North Field
s8,3/2/2025,24.3,65,7,1.9,North Field
S011,4/6/2025,13.7,33,6.9,1.9,Nrth Field
s12,3/4/2025,27.1,38,-1.9,3.3,e field
s60,11/3/2025,34.4,41,7.2,4.1,NORTH FIELD
s03,4-Mar-25,37.6,24,5.7,1.5,e field
s01,3/19/2025,37.8,51,6.8,2.6,w field
S015,19/03/2025,26.9,missing,7.5,1.3,East Field
s22,3/10/2025,25,54,None,2,West Field
s37,3/9/2025,34.4,39,6.6,3,EastField
s10,23-Mar-25,14.2,48,7.2,1.6,n field
S014,3/10/2025,20.4,29,6.2,4.1,north field
s8,3/9/2025,24.8,43,6.8,1.4,w field
s21,16-Mar-25,24.3,42,7.3,None,e field
S001,3/10/2025,13.2,28,7.2,3.4,East Field
S029,9/3/2025,,51,7.4,2426.7,north field
S031,3/16/2025,33.2,30,7.2,1.8,westField
S043,7-Mar-25,22.9,60,6.3,3.9,Nrth Field
s47,2/3/2025,37.1,33,2.4,,NorthField
S56,3/5/2025,27.6,40,7.6,2.6,Nrth Field
s24,3/16/2025,missing,56,5.8,1.6,W field
S027,2/26/2025,N/A,26,7,2.2,WEST FIELD
s39,4-Apr-25,31.5,20,5.9,2.8,westField
